,City,Lat,Lon,Temp,Humidity,Clouds,Max Temp,Wind Speed
388,cidreira,-30.18,-50.21,11.45,67,0,11.45,6.52
389,rio grande,-32.03,-52.1,12.49,50,40,14.0,5.1
390,oranjemund,-28.55,16.43,13.08,75,0,13.08,7.81
391,vanavara,60.34,102.28,9.15,81,5,9.15,1.48
392,pryozerne,45.27,36.33,21.82,58,0,21.82,3.83
393,freeport,40.66,-73.58,29.33,58,1,30.56,5.1
394,wajir,1.75,40.06,26.33,64,39,26.33,8.87
395,paracuru,-3.41,-39.03,26.67,74,20,26.67,5.81
396,escanaba,45.75,-87.06,27.16,69,1,29.44,5.1
397,iracoubo,5.48,-53.2,27.15,79,56,27.15,2.8
398,sinegorye,62.08,150.48,13.7,70,100,13.7,2.74
399,cochrane,51.18,-114.47,20.52,56,20,21.67,5.7
400,jefferson city,38.58,-92.17,32.82,49,40,33.33,5.7
401,moron,-34.65,-58.62,13.34,43,0,13.89,0.89
402,baisha,26.52,110.93,24.96,86,100,24.96,0.86
403,meulaboh,4.14,96.13,24.42,83,98,24.42,1.98
404,yongan,39.7,113.69,15.75,81,73,15.75,2.17
405,olafsvik,64.89,-23.71,11.22,73,66,11.22,4.37
406,teknaf,20.86,92.31,27.04,87,98,27.04,3.87
407,tyukhtet,56.54,89.3,14.44,74,100,14.44,2.48
408,moerai,-22.43,-151.33,21.62,70,21,21.62,9.69
409,abu zabad,12.35,29.25,26.56,65,75,26.56,2.63
410,laguna,38.42,-121.42,34.1,27,1,35.56,1.5
411,fereydun kenar,36.69,52.52,26.0,74,0,26.0,3.1
412,north platte,41.12,-100.77,30.83,40,1,31.11,6.2
413,daur,26.46,68.32,33.0,63,0,33.0,3.1
414,estreito,-5.78,-43.25,26.47,52,32,26.47,0.82
415,parabel,58.7,81.48,14.08,92,100,14.08,2.92
416,richards bay,-28.78,32.04,22.01,55,0,22.01,7.87
417,flin flon,54.77,-101.86,19.0,72,75,19.0,4.6
418,vila franca do campo,37.72,-25.43,21.0,64,40,21.0,4.6
419,berdigestyakh,62.1,126.7,15.13,88,100,15.13,4.15
420,lompoc,34.64,-120.46,17.11,68,11,18.0,7.2
421,venice,27.1,-82.45,32.14,62,1,32.22,6.7
422,caucaia,-3.74,-38.65,26.83,74,75,27.0,4.6
423,snasa,64.25,12.38,11.0,87,75,11.0,2.1
424,yulara,-25.24,130.99,5.0,41,0,5.0,0.5
425,svetlogorsk,52.63,29.73,11.84,77,47,11.84,1.05
426,itoman,26.12,127.67,27.94,88,75,28.0,6.2
427,mormugao,15.4,73.8,25.98,87,100,25.98,3.85
428,castro,-24.79,-50.01,9.5,70,100,9.5,0.66
429,caravelas,-17.71,-39.25,22.28,81,0,22.28,2.42
430,petropavlovsk-kamchatskiy,53.05,158.65,14.0,100,75,14.0,1.0
431,vallenar,-28.57,-70.76,26.25,15,0,26.25,2.35
